"","SubjID","ItemID","Cat","Answer"
"25","A1VNYP58BTF4HX","Answer.nc1","Superiority-obeying",5
"26","A1VNYP58BTF4HX","Answer.nc2","Superiority-obeying",4
"27","A1VNYP58BTF4HX","Answer.nc3","Superiority-obeying",5
"28","A1VNYP58BTF4HX","Answer.nc4","Superiority-obeying",5
"29","A1VNYP58BTF4HX","Answer.nc5","Superiority-obeying",5
"30","A1VNYP58BTF4HX","Answer.nc6","Superiority-obeying",5
"31","A1VNYP58BTF4HX","Answer.f10","Superiority-violating",5
"32","A1VNYP58BTF4HX","Answer.f11","Superiority-violating",5
"33","A1VNYP58BTF4HX","Answer.f12","Superiority-violating",4
"34","A1VNYP58BTF4HX","Answer.f7","Superiority-violating",5
"35","A1VNYP58BTF4HX","Answer.f8","Superiority-violating",3
"36","A1VNYP58BTF4HX","Answer.f9","Superiority-violating",4
"61","AGBLVZJFLIBKO","Answer.nc1","Superiority-obeying",5
"62","AGBLVZJFLIBKO","Answer.nc2","Superiority-obeying",5
"63","AGBLVZJFLIBKO","Answer.nc3","Superiority-obeying",5
"64","AGBLVZJFLIBKO","Answer.nc4","Superiority-obeying",5
"65","AGBLVZJFLIBKO","Answer.nc5","Superiority-obeying",4
"66","AGBLVZJFLIBKO","Answer.nc6","Superiority-obeying",5
"67","AGBLVZJFLIBKO","Answer.f10","Superiority-violating",5
"68","AGBLVZJFLIBKO","Answer.f11","Superiority-violating",4
"69","AGBLVZJFLIBKO","Answer.f12","Superiority-violating",5
"70","AGBLVZJFLIBKO","Answer.f7","Superiority-violating",4
"71","AGBLVZJFLIBKO","Answer.f8","Superiority-violating",5
"72","AGBLVZJFLIBKO","Answer.f9","Superiority-violating",5
"97","A3JLWBEHC4VIOM","Answer.nc1","Superiority-obeying",5
"98","A3JLWBEHC4VIOM","Answer.nc2","Superiority-obeying",5
"99","A3JLWBEHC4VIOM","Answer.nc3","Superiority-obeying",5
"100","A3JLWBEHC4VIOM","Answer.nc4","Superiority-obeying",5
"101","A3JLWBEHC4VIOM","Answer.nc5","Superiority-obeying",5
"102","A3JLWBEHC4VIOM","Answer.nc6","Superiority-obeying",5
"103","A3JLWBEHC4VIOM","Answer.f10","Superiority-violating",5
"104","A3JLWBEHC4VIOM","Answer.f11","Superiority-violating",2
"105","A3JLWBEHC4VIOM","Answer.f12","Superiority-violating",5
"106","A3JLWBEHC4VIOM","Answer.f7","Superiority-violating",5
"107","A3JLWBEHC4VIOM","Answer.f8","Superiority-violating",3
"108","A3JLWBEHC4VIOM","Answer.f9","Superiority-violating",5
"133","A39RGARQZH9C9J","Answer.nc1","Superiority-obeying",5
"134","A39RGARQZH9C9J","Answer.nc2","Superiority-obeying",5
"135","A39RGARQZH9C9J","Answer.nc3","Superiority-obeying",5
"136","A39RGARQZH9C9J","Answer.nc4","Superiority-obeying",5
"137","A39RGARQZH9C9J","Answer.nc5","Superiority-obeying",5
"138","A39RGARQZH9C9J","Answer.nc6","Superiority-obeying",1
"139","A39RGARQZH9C9J","Answer.f10","Superiority-violating",1
"140","A39RGARQZH9C9J","Answer.f11","Superiority-violating",5
"141","A39RGARQZH9C9J","Answer.f12","Superiority-violating",5
"142","A39RGARQZH9C9J","Answer.f7","Superiority-violating",1
"143","A39RGARQZH9C9J","Answer.f8","Superiority-violating",1
"144","A39RGARQZH9C9J","Answer.f9","Superiority-violating",5
"169","A1A3TGZ7DKJWRW","Answer.nc1","Superiority-obeying",5
"170","A1A3TGZ7DKJWRW","Answer.nc2","Superiority-obeying",5
"171","A1A3TGZ7DKJWRW","Answer.nc3","Superiority-obeying",5
"172","A1A3TGZ7DKJWRW","Answer.nc4","Superiority-obeying",1
"173","A1A3TGZ7DKJWRW","Answer.nc5","Superiority-obeying",1
"174","A1A3TGZ7DKJWRW","Answer.nc6","Superiority-obeying",5
"175","A1A3TGZ7DKJWRW","Answer.f10","Superiority-violating",5
"176","A1A3TGZ7DKJWRW","Answer.f11","Superiority-violating",5
"177","A1A3TGZ7DKJWRW","Answer.f12","Superiority-violating",1
"178","A1A3TGZ7DKJWRW","Answer.f7","Superiority-violating",5
"179","A1A3TGZ7DKJWRW","Answer.f8","Superiority-violating",5
"180","A1A3TGZ7DKJWRW","Answer.f9","Superiority-violating",5
"241","A2YCMT5BPA0AG9","Answer.nc1","Superiority-obeying",5
"242","A2YCMT5BPA0AG9","Answer.nc2","Superiority-obeying",5
"243","A2YCMT5BPA0AG9","Answer.nc3","Superiority-obeying",3
"244","A2YCMT5BPA0AG9","Answer.nc4","Superiority-obeying",5
"245","A2YCMT5BPA0AG9","Answer.nc5","Superiority-obeying",5
"246","A2YCMT5BPA0AG9","Answer.nc6","Superiority-obeying",5
"247","A2YCMT5BPA0AG9","Answer.f10","Superiority-violating",5
"248","A2YCMT5BPA0AG9","Answer.f11","Superiority-violating",5
"249","A2YCMT5BPA0AG9","Answer.f12","Superiority-violating",4
"250","A2YCMT5BPA0AG9","Answer.f7","Superiority-violating",4
"251","A2YCMT5BPA0AG9","Answer.f8","Superiority-violating",5
"252","A2YCMT5BPA0AG9","Answer.f9","Superiority-violating",4
"277","A323O8GJP2B28X","Answer.nc1","Superiority-obeying",5
"278","A323O8GJP2B28X","Answer.nc2","Superiority-obeying",5
"279","A323O8GJP2B28X","Answer.nc3","Superiority-obeying",5
"280","A323O8GJP2B28X","Answer.nc4","Superiority-obeying",5
"281","A323O8GJP2B28X","Answer.nc5","Superiority-obeying",5
"282","A323O8GJP2B28X","Answer.nc6","Superiority-obeying",5
"283","A323O8GJP2B28X","Answer.f10","Superiority-violating",4
"284","A323O8GJP2B28X","Answer.f11","Superiority-violating",5
"285","A323O8GJP2B28X","Answer.f12","Superiority-violating",5
"286","A323O8GJP2B28X","Answer.f7","Superiority-violating",5
"287","A323O8GJP2B28X","Answer.f8","Superiority-violating",4
"288","A323O8GJP2B28X","Answer.f9","Superiority-violating",5
"457","A2R4X74AIATLEE","Answer.nc1","Superiority-obeying",5
"458","A2R4X74AIATLEE","Answer.nc2","Superiority-obeying",5
"459","A2R4X74AIATLEE","Answer.nc3","Superiority-obeying",1
"460","A2R4X74AIATLEE","Answer.nc4","Superiority-obeying",5
"461","A2R4X74AIATLEE","Answer.nc5","Superiority-obeying",5
"462","A2R4X74AIATLEE","Answer.nc6","Superiority-obeying",5
"463","A2R4X74AIATLEE","Answer.f10","Superiority-violating",4
"464","A2R4X74AIATLEE","Answer.f11","Superiority-violating",4
"465","A2R4X74AIATLEE","Answer.f12","Superiority-violating",5
"466","A2R4X74AIATLEE","Answer.f7","Superiority-violating",4
"467","A2R4X74AIATLEE","Answer.f8","Superiority-violating",2
"468","A2R4X74AIATLEE","Answer.f9","Superiority-violating",4
"493","A1MI97WAP3WYZ","Answer.nc1","Superiority-obeying",1
"494","A1MI97WAP3WYZ","Answer.nc2","Superiority-obeying",2
"495","A1MI97WAP3WYZ","Answer.nc3","Superiority-obeying",1
"496","A1MI97WAP3WYZ","Answer.nc4","Superiority-obeying",5
"497","A1MI97WAP3WYZ","Answer.nc5","Superiority-obeying",2
"498","A1MI97WAP3WYZ","Answer.nc6","Superiority-obeying",5
"499","A1MI97WAP3WYZ","Answer.f10","Superiority-violating",3
"500","A1MI97WAP3WYZ","Answer.f11","Superiority-violating",2
"501","A1MI97WAP3WYZ","Answer.f12","Superiority-violating",5
"502","A1MI97WAP3WYZ","Answer.f7","Superiority-violating",2
"503","A1MI97WAP3WYZ","Answer.f8","Superiority-violating",1
"504","A1MI97WAP3WYZ","Answer.f9","Superiority-violating",2
"529","AFHRMJIHMGLDE","Answer.nc1","Superiority-obeying",5
"530","AFHRMJIHMGLDE","Answer.nc2","Superiority-obeying",5
"531","AFHRMJIHMGLDE","Answer.nc3","Superiority-obeying",5
"532","AFHRMJIHMGLDE","Answer.nc4","Superiority-obeying",5
"533","AFHRMJIHMGLDE","Answer.nc5","Superiority-obeying",5
"534","AFHRMJIHMGLDE","Answer.nc6","Superiority-obeying",5
"535","AFHRMJIHMGLDE","Answer.f10","Superiority-violating",5
"536","AFHRMJIHMGLDE","Answer.f11","Superiority-violating",5
"537","AFHRMJIHMGLDE","Answer.f12","Superiority-violating",5
"538","AFHRMJIHMGLDE","Answer.f7","Superiority-violating",5
"539","AFHRMJIHMGLDE","Answer.f8","Superiority-violating",5
"540","AFHRMJIHMGLDE","Answer.f9","Superiority-violating",5
"565","A3GYJ7ZDKUZP7L","Answer.nc1","Superiority-obeying",5
"566","A3GYJ7ZDKUZP7L","Answer.nc2","Superiority-obeying",5
"567","A3GYJ7ZDKUZP7L","Answer.nc3","Superiority-obeying",5
"568","A3GYJ7ZDKUZP7L","Answer.nc4","Superiority-obeying",5
"569","A3GYJ7ZDKUZP7L","Answer.nc5","Superiority-obeying",5
"570","A3GYJ7ZDKUZP7L","Answer.nc6","Superiority-obeying",5
"571","A3GYJ7ZDKUZP7L","Answer.f10","Superiority-violating",5
"572","A3GYJ7ZDKUZP7L","Answer.f11","Superiority-violating",4
"573","A3GYJ7ZDKUZP7L","Answer.f12","Superiority-violating",4
"574","A3GYJ7ZDKUZP7L","Answer.f7","Superiority-violating",3
"575","A3GYJ7ZDKUZP7L","Answer.f8","Superiority-violating",5
"576","A3GYJ7ZDKUZP7L","Answer.f9","Superiority-violating",5
"601","ASS4LIVDW452F","Answer.nc1","Superiority-obeying",5
"602","ASS4LIVDW452F","Answer.nc2","Superiority-obeying",5
"603","ASS4LIVDW452F","Answer.nc3","Superiority-obeying",3
"604","ASS4LIVDW452F","Answer.nc4","Superiority-obeying",5
"605","ASS4LIVDW452F","Answer.nc5","Superiority-obeying",5
"606","ASS4LIVDW452F","Answer.nc6","Superiority-obeying",5
"607","ASS4LIVDW452F","Answer.f10","Superiority-violating",5
"608","ASS4LIVDW452F","Answer.f11","Superiority-violating",3
"609","ASS4LIVDW452F","Answer.f12","Superiority-violating",5
"610","ASS4LIVDW452F","Answer.f7","Superiority-violating",5
"611","ASS4LIVDW452F","Answer.f8","Superiority-violating",2
"612","ASS4LIVDW452F","Answer.f9","Superiority-violating",5
"673","A27BSYPO6JCB4Q","Answer.nc1","Superiority-obeying",5
"674","A27BSYPO6JCB4Q","Answer.nc2","Superiority-obeying",5
"675","A27BSYPO6JCB4Q","Answer.nc3","Superiority-obeying",1
"676","A27BSYPO6JCB4Q","Answer.nc4","Superiority-obeying",5
"677","A27BSYPO6JCB4Q","Answer.nc5","Superiority-obeying",5
"678","A27BSYPO6JCB4Q","Answer.nc6","Superiority-obeying",4
"679","A27BSYPO6JCB4Q","Answer.f10","Superiority-violating",5
"680","A27BSYPO6JCB4Q","Answer.f11","Superiority-violating",5
"681","A27BSYPO6JCB4Q","Answer.f12","Superiority-violating",3
"682","A27BSYPO6JCB4Q","Answer.f7","Superiority-violating",5
"683","A27BSYPO6JCB4Q","Answer.f8","Superiority-violating",5
"684","A27BSYPO6JCB4Q","Answer.f9","Superiority-violating",5
"709","A15YUZ5RUNA6FI","Answer.nc1","Superiority-obeying",5
"710","A15YUZ5RUNA6FI","Answer.nc2","Superiority-obeying",5
"711","A15YUZ5RUNA6FI","Answer.nc3","Superiority-obeying",4
"712","A15YUZ5RUNA6FI","Answer.nc4","Superiority-obeying",1
"713","A15YUZ5RUNA6FI","Answer.nc5","Superiority-obeying",5
"714","A15YUZ5RUNA6FI","Answer.nc6","Superiority-obeying",5
"715","A15YUZ5RUNA6FI","Answer.f10","Superiority-violating",5
"716","A15YUZ5RUNA6FI","Answer.f11","Superiority-violating",5
"717","A15YUZ5RUNA6FI","Answer.f12","Superiority-violating",5
"718","A15YUZ5RUNA6FI","Answer.f7","Superiority-violating",5
"719","A15YUZ5RUNA6FI","Answer.f8","Superiority-violating",1
"720","A15YUZ5RUNA6FI","Answer.f9","Superiority-violating",5
"745","A6RP0QY5H66Y2","Answer.nc1","Superiority-obeying",5
"746","A6RP0QY5H66Y2","Answer.nc2","Superiority-obeying",5
"747","A6RP0QY5H66Y2","Answer.nc3","Superiority-obeying",5
"748","A6RP0QY5H66Y2","Answer.nc4","Superiority-obeying",5
"749","A6RP0QY5H66Y2","Answer.nc5","Superiority-obeying",5
"750","A6RP0QY5H66Y2","Answer.nc6","Superiority-obeying",5
"751","A6RP0QY5H66Y2","Answer.f10","Superiority-violating",2
"752","A6RP0QY5H66Y2","Answer.f11","Superiority-violating",4
"753","A6RP0QY5H66Y2","Answer.f12","Superiority-violating",4
"754","A6RP0QY5H66Y2","Answer.f7","Superiority-violating",1
"755","A6RP0QY5H66Y2","Answer.f8","Superiority-violating",2
"756","A6RP0QY5H66Y2","Answer.f9","Superiority-violating",5
"781","AWY68ANFRTHWQ","Answer.nc1","Superiority-obeying",5
"782","AWY68ANFRTHWQ","Answer.nc2","Superiority-obeying",5
"783","AWY68ANFRTHWQ","Answer.nc3","Superiority-obeying",2
"784","AWY68ANFRTHWQ","Answer.nc4","Superiority-obeying",5
"785","AWY68ANFRTHWQ","Answer.nc5","Superiority-obeying",5
"786","AWY68ANFRTHWQ","Answer.nc6","Superiority-obeying",5
"787","AWY68ANFRTHWQ","Answer.f10","Superiority-violating",2
"788","AWY68ANFRTHWQ","Answer.f11","Superiority-violating",4
"789","AWY68ANFRTHWQ","Answer.f12","Superiority-violating",5
"790","AWY68ANFRTHWQ","Answer.f7","Superiority-violating",4
"791","AWY68ANFRTHWQ","Answer.f8","Superiority-violating",5
"792","AWY68ANFRTHWQ","Answer.f9","Superiority-violating",5
"817","A13TJ0P4X8HJ6Q","Answer.nc1","Superiority-obeying",5
"818","A13TJ0P4X8HJ6Q","Answer.nc2","Superiority-obeying",5
"819","A13TJ0P4X8HJ6Q","Answer.nc3","Superiority-obeying",5
"820","A13TJ0P4X8HJ6Q","Answer.nc4","Superiority-obeying",5
"821","A13TJ0P4X8HJ6Q","Answer.nc5","Superiority-obeying",5
"822","A13TJ0P4X8HJ6Q","Answer.nc6","Superiority-obeying",5
"823","A13TJ0P4X8HJ6Q","Answer.f10","Superiority-violating",5
"824","A13TJ0P4X8HJ6Q","Answer.f11","Superiority-violating",5
"825","A13TJ0P4X8HJ6Q","Answer.f12","Superiority-violating",5
"826","A13TJ0P4X8HJ6Q","Answer.f7","Superiority-violating",5
"827","A13TJ0P4X8HJ6Q","Answer.f8","Superiority-violating",5
"828","A13TJ0P4X8HJ6Q","Answer.f9","Superiority-violating",5
"889","A3FOKP72T5I4FR","Answer.nc1","Superiority-obeying",5
"890","A3FOKP72T5I4FR","Answer.nc2","Superiority-obeying",5
"891","A3FOKP72T5I4FR","Answer.nc3","Superiority-obeying",5
"892","A3FOKP72T5I4FR","Answer.nc4","Superiority-obeying",5
"893","A3FOKP72T5I4FR","Answer.nc5","Superiority-obeying",5
"894","A3FOKP72T5I4FR","Answer.nc6","Superiority-obeying",5
"895","A3FOKP72T5I4FR","Answer.f10","Superiority-violating",4
"896","A3FOKP72T5I4FR","Answer.f11","Superiority-violating",5
"897","A3FOKP72T5I4FR","Answer.f12","Superiority-violating",5
"898","A3FOKP72T5I4FR","Answer.f7","Superiority-violating",5
"899","A3FOKP72T5I4FR","Answer.f8","Superiority-violating",5
"900","A3FOKP72T5I4FR","Answer.f9","Superiority-violating",5
"925","A138BU1VWM2RKN","Answer.nc1","Superiority-obeying",5
"926","A138BU1VWM2RKN","Answer.nc2","Superiority-obeying",5
"927","A138BU1VWM2RKN","Answer.nc3","Superiority-obeying",5
"928","A138BU1VWM2RKN","Answer.nc4","Superiority-obeying",5
"929","A138BU1VWM2RKN","Answer.nc5","Superiority-obeying",5
"930","A138BU1VWM2RKN","Answer.nc6","Superiority-obeying",5
"931","A138BU1VWM2RKN","Answer.f10","Superiority-violating",5
"932","A138BU1VWM2RKN","Answer.f11","Superiority-violating",3
"933","A138BU1VWM2RKN","Answer.f12","Superiority-violating",5
"934","A138BU1VWM2RKN","Answer.f7","Superiority-violating",5
"935","A138BU1VWM2RKN","Answer.f8","Superiority-violating",2
"936","A138BU1VWM2RKN","Answer.f9","Superiority-violating",5
"997","A27O2IILV3S5YS","Answer.nc1","Superiority-obeying",5
"998","A27O2IILV3S5YS","Answer.nc2","Superiority-obeying",5
"999","A27O2IILV3S5YS","Answer.nc3","Superiority-obeying",5
"1000","A27O2IILV3S5YS","Answer.nc4","Superiority-obeying",5
"1001","A27O2IILV3S5YS","Answer.nc5","Superiority-obeying",5
"1002","A27O2IILV3S5YS","Answer.nc6","Superiority-obeying",5
"1003","A27O2IILV3S5YS","Answer.f10","Superiority-violating",5
"1004","A27O2IILV3S5YS","Answer.f11","Superiority-violating",5
"1005","A27O2IILV3S5YS","Answer.f12","Superiority-violating",5
"1006","A27O2IILV3S5YS","Answer.f7","Superiority-violating",5
"1007","A27O2IILV3S5YS","Answer.f8","Superiority-violating",5
"1008","A27O2IILV3S5YS","Answer.f9","Superiority-violating",5
"1033","A2HSQ1UBJIZ1DH","Answer.nc1","Superiority-obeying",5
"1034","A2HSQ1UBJIZ1DH","Answer.nc2","Superiority-obeying",5
"1035","A2HSQ1UBJIZ1DH","Answer.nc3","Superiority-obeying",1
"1036","A2HSQ1UBJIZ1DH","Answer.nc4","Superiority-obeying",4
"1037","A2HSQ1UBJIZ1DH","Answer.nc5","Superiority-obeying",5
"1038","A2HSQ1UBJIZ1DH","Answer.nc6","Superiority-obeying",1
"1039","A2HSQ1UBJIZ1DH","Answer.f10","Superiority-violating",1
"1040","A2HSQ1UBJIZ1DH","Answer.f11","Superiority-violating",1
"1041","A2HSQ1UBJIZ1DH","Answer.f12","Superiority-violating",1
"1042","A2HSQ1UBJIZ1DH","Answer.f7","Superiority-violating",1
"1043","A2HSQ1UBJIZ1DH","Answer.f8","Superiority-violating",1
"1044","A2HSQ1UBJIZ1DH","Answer.f9","Superiority-violating",5
"1069","A2416IYI3FQMAG","Answer.nc1","Superiority-obeying",5
"1070","A2416IYI3FQMAG","Answer.nc2","Superiority-obeying",5
"1071","A2416IYI3FQMAG","Answer.nc3","Superiority-obeying",4
"1072","A2416IYI3FQMAG","Answer.nc4","Superiority-obeying",5
"1073","A2416IYI3FQMAG","Answer.nc5","Superiority-obeying",5
"1074","A2416IYI3FQMAG","Answer.nc6","Superiority-obeying",5
"1075","A2416IYI3FQMAG","Answer.f10","Superiority-violating",5
"1076","A2416IYI3FQMAG","Answer.f11","Superiority-violating",5
"1077","A2416IYI3FQMAG","Answer.f12","Superiority-violating",5
"1078","A2416IYI3FQMAG","Answer.f7","Superiority-violating",5
"1079","A2416IYI3FQMAG","Answer.f8","Superiority-violating",5
"1080","A2416IYI3FQMAG","Answer.f9","Superiority-violating",5
"1177","A3L6XZCGHKA9WY","Answer.nc1","Superiority-obeying",5
"1178","A3L6XZCGHKA9WY","Answer.nc2","Superiority-obeying",4
"1179","A3L6XZCGHKA9WY","Answer.nc3","Superiority-obeying",4
"1180","A3L6XZCGHKA9WY","Answer.nc4","Superiority-obeying",5
"1181","A3L6XZCGHKA9WY","Answer.nc5","Superiority-obeying",4
"1182","A3L6XZCGHKA9WY","Answer.nc6","Superiority-obeying",5
"1183","A3L6XZCGHKA9WY","Answer.f10","Superiority-violating",2
"1184","A3L6XZCGHKA9WY","Answer.f11","Superiority-violating",3
"1185","A3L6XZCGHKA9WY","Answer.f12","Superiority-violating",5
"1186","A3L6XZCGHKA9WY","Answer.f7","Superiority-violating",2
"1187","A3L6XZCGHKA9WY","Answer.f8","Superiority-violating",4
"1188","A3L6XZCGHKA9WY","Answer.f9","Superiority-violating",4
"1213","A12O9P1OTMJOPW","Answer.nc1","Superiority-obeying",5
"1214","A12O9P1OTMJOPW","Answer.nc2","Superiority-obeying",5
"1215","A12O9P1OTMJOPW","Answer.nc3","Superiority-obeying",5
"1216","A12O9P1OTMJOPW","Answer.nc4","Superiority-obeying",5
"1217","A12O9P1OTMJOPW","Answer.nc5","Superiority-obeying",5
"1218","A12O9P1OTMJOPW","Answer.nc6","Superiority-obeying",5
"1219","A12O9P1OTMJOPW","Answer.f10","Superiority-violating",2
"1220","A12O9P1OTMJOPW","Answer.f11","Superiority-violating",5
"1221","A12O9P1OTMJOPW","Answer.f12","Superiority-violating",5
"1222","A12O9P1OTMJOPW","Answer.f7","Superiority-violating",3
"1223","A12O9P1OTMJOPW","Answer.f8","Superiority-violating",2
"1224","A12O9P1OTMJOPW","Answer.f9","Superiority-violating",5
"1285","A32FIOOQE8U98U","Answer.nc1","Superiority-obeying",5
"1286","A32FIOOQE8U98U","Answer.nc2","Superiority-obeying",5
"1287","A32FIOOQE8U98U","Answer.nc3","Superiority-obeying",5
"1288","A32FIOOQE8U98U","Answer.nc4","Superiority-obeying",5
"1289","A32FIOOQE8U98U","Answer.nc5","Superiority-obeying",5
"1290","A32FIOOQE8U98U","Answer.nc6","Superiority-obeying",5
"1291","A32FIOOQE8U98U","Answer.f10","Superiority-violating",5
"1292","A32FIOOQE8U98U","Answer.f11","Superiority-violating",5
"1293","A32FIOOQE8U98U","Answer.f12","Superiority-violating",5
"1294","A32FIOOQE8U98U","Answer.f7","Superiority-violating",4
"1295","A32FIOOQE8U98U","Answer.f8","Superiority-violating",4
"1296","A32FIOOQE8U98U","Answer.f9","Superiority-violating",5
"1321","A2UJRTY2I88UBY","Answer.nc1","Superiority-obeying",3
"1322","A2UJRTY2I88UBY","Answer.nc2","Superiority-obeying",4
"1323","A2UJRTY2I88UBY","Answer.nc3","Superiority-obeying",3
"1324","A2UJRTY2I88UBY","Answer.nc4","Superiority-obeying",4
"1325","A2UJRTY2I88UBY","Answer.nc5","Superiority-obeying",4
"1326","A2UJRTY2I88UBY","Answer.nc6","Superiority-obeying",5
"1327","A2UJRTY2I88UBY","Answer.f10","Superiority-violating",4
"1328","A2UJRTY2I88UBY","Answer.f11","Superiority-violating",4
"1329","A2UJRTY2I88UBY","Answer.f12","Superiority-violating",5
"1330","A2UJRTY2I88UBY","Answer.f7","Superiority-violating",4
"1331","A2UJRTY2I88UBY","Answer.f8","Superiority-violating",3
"1332","A2UJRTY2I88UBY","Answer.f9","Superiority-violating",4
"1357","A3UO7J3GT8DYWC","Answer.nc1","Superiority-obeying",5
"1358","A3UO7J3GT8DYWC","Answer.nc2","Superiority-obeying",5
"1359","A3UO7J3GT8DYWC","Answer.nc3","Superiority-obeying",5
"1360","A3UO7J3GT8DYWC","Answer.nc4","Superiority-obeying",5
"1361","A3UO7J3GT8DYWC","Answer.nc5","Superiority-obeying",5
"1362","A3UO7J3GT8DYWC","Answer.nc6","Superiority-obeying",5
"1363","A3UO7J3GT8DYWC","Answer.f10","Superiority-violating",4
"1364","A3UO7J3GT8DYWC","Answer.f11","Superiority-violating",4
"1365","A3UO7J3GT8DYWC","Answer.f12","Superiority-violating",4
"1366","A3UO7J3GT8DYWC","Answer.f7","Superiority-violating",4
"1367","A3UO7J3GT8DYWC","Answer.f8","Superiority-violating",4
"1368","A3UO7J3GT8DYWC","Answer.f9","Superiority-violating",4
"1429","A2NDF21CYB14BB","Answer.nc1","Superiority-obeying",5
"1430","A2NDF21CYB14BB","Answer.nc2","Superiority-obeying",5
"1431","A2NDF21CYB14BB","Answer.nc3","Superiority-obeying",1
"1432","A2NDF21CYB14BB","Answer.nc4","Superiority-obeying",5
"1433","A2NDF21CYB14BB","Answer.nc5","Superiority-obeying",5
"1434","A2NDF21CYB14BB","Answer.nc6","Superiority-obeying",5
"1435","A2NDF21CYB14BB","Answer.f10","Superiority-violating",3
"1436","A2NDF21CYB14BB","Answer.f11","Superiority-violating",3
"1437","A2NDF21CYB14BB","Answer.f12","Superiority-violating",5
"1438","A2NDF21CYB14BB","Answer.f7","Superiority-violating",1
"1439","A2NDF21CYB14BB","Answer.f8","Superiority-violating",3
"1440","A2NDF21CYB14BB","Answer.f9","Superiority-violating",5
